Rank,Name,Region,Status,Latitude,Longitude
499,Universidad de Costa Rica,Costa Rica,Public,9.94104,-84.0489
503,Shoolini University of Biotechnology and Management Sciences,India,Private not for Profit,30.8644,77.1187
504,China Agricultural University,China (Mainland),Public,40.0239,116.281
504,Chongqing University,China (Mainland),Public,29.5646,106.466
504,Ewha Womans University,Republic of Korea,Private not for Profit,37.5665,126.978
504,Hunan University,China (Mainland),Public,28.241,113.026
504,University of Guelph,Canada,Public,43.5305188,-80.2262524
509,China Medical University,Taiwan,Private not for Profit,24.1560757,120.6803671
509,Institut Teknologi Sepuluh Nopember (ITS),Indonesia,Public,24.1560757,120.6803671
509,INTI International University,Malaysia,Private for Profit,2.814463,101.7568138
511,Ateneo de Manila University,Philippines,Private not for Profit,14.6391,121.078
511,Singapore Management University,Singapore,Public,1.2962727,103.8501578
511,SOAS University of London,United Kingdom,Public,51.52235,-0.129259
511,University of Bradford,United Kingdom,Public,53.7914,-1.76414
515,Lebanese University,Lebanon,Public,34.414805068444,35.830278396606
515,Universitas Padjadjaran (UNPAD),Indonesia,Public,-6.9261321,107.7746881
517,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,Argentina,Private not for Profit,-6.9261321,107.7746881
517,University of Stirling,United Kingdom,Public,56.1492131,-3.9267942
519,Kyungpook National University,Republic of Korea,Public,35.8888003,128.6102815
519,Singapore University of Technology and Design,Singapore,,1.3401129,103.9628616
519,Universidad Austral - Argentina,Argentina,Private not for Profit,56.1492131,-3.9267942
519,University of Electronic Science and Technology of China,China (Mainland),Public,30.6586,104.065
519,Ural Federal University,Russian Federation,Public,56.1492131,-3.9267942
524,University of Huddersfield,United Kingdom,Public,53.6434,-1.77923
525,The University of Georgia,United States of America,Public,33.947784335001,-83.37824672439
526,Boston College,United States of America,Private not for Profit,42.3355488,-71.1684945
526,Chiang Mai University,Thailand,Public,18.8079,98.9545
526,University of Hull,United Kingdom,Public,53.7698,-0.368164
526,University of Salamanca,Spain,Public,40.3871165,-5.7642172
530,The Education University of Hong Kong,"Hong Kong SAR, China",,22.470655,114.194871
530,Universität Bremen,Germany,Public,53.1069,8.85175
530,University of Genoa,Italy,Public,44.4057,8.90936
530,University of Iowa,United States of America,Public,41.6606795,-91.5355968
534,University of Connecticut,United States of America,Public,41.3175768,-72.0637518
535,King Khalid University,Saudi Arabia,Public,18.2477261,42.5610112
535,Lebanese American University,Lebanon,Private not for Profit,33.8929019,35.4778571
535,Prince Sultan University,Saudi Arabia,Private not for Profit,24.688,46.7224
535,Universität Leipzig,Germany,Public,51.3383504,12.3634475
535,University of Ljubljana,Slovenia,Public,46.0496,14.5042
540,Jinan University (China),China (Mainland),Public,23.1281,113.348
540,University of Utah,United States of America,Public,40.7714549,-111.8366215
542,Ain Shams University,Egypt,Public,40.7714549,-111.8366215
542,Universiti Teknologi MARA - UiTM,Malaysia,Public,3.06941,101.506
542,University of Milano-Bicocca,Italy,Public,45.5184464,9.2131057
542,University of the Punjab,Pakistan,Public,32.166312956967,74.212646484375
546,Universität Ulm,Germany,Public,32.166312956967,74.212646484375
546,University of Hawaii at Mañoa,United States of America,Public,32.166312956967,74.212646484375
546,University of Windsor,Canada,Public,42.3043142,-83.066039
549,Florida State University,United States of America,Public,30.4407249,-84.2906647
550,Northumbria University at Newcastle,United Kingdom,Public,54.976831,-1.6092926
551,Thammasat University,Thailand,Public,13.7565,100.5
551,Universiti Tenaga Nasional (UNITEN),Malaysia,Private for Profit,2.9774,101.731
553,Hitotsubashi University,Japan,Public,35.6944035,139.4454577
553,University of Delaware,United States of America,Public,39.1980302,-75.5627461
555,Lahore University of Management Sciences (LUMS),Pakistan,Private not for Profit,31.5530232,74.3819425
556,Indian Institute of Technology Indore,India,Public,22.528700143354,75.923412297436
556,University of Houston,United States of America,Public,29.7188527,-95.3410222
558,Al Ain University,United Arab Emirates,Private not for Profit,24.240762,55.740842
558,Coventry University,United Kingdom,Public,52.407501580186,-1.5037046788208
558,Jawaharlal Nehru University,India,Public,28.5398035,77.1664047
558,Sogang University,Republic of Korea,Private not for Profit,37.5509442,126.9410023
558,University of Kwazulu-Natal,South Africa,Public,-29.8184,30.861
563,Ajou University,Republic of Korea,Private not for Profit,37.2833633,127.0465105
563,American University of the Middle East,Kuwait,Private for Profit,29.166897,48.1005185
563,University of Debrecen,Hungary,Public,47.5540468,21.6215226
566,Bangor University,United Kingdom,Public,53.2292005,-4.1288427
566,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,Public,25.2623247,82.9893735
566,Renmin (People’s) University of China,China (Mainland),Public,47.5540468,21.6215226
566,Savitribai Phule Pune University,India,Public,18.5526,73.8262
566,University of Minho,Portugal,Public,41.4506978,-8.2934876
571,Colorado School of Mines,United States of America,Public,39.7510475,-105.2225708
571,Hacettepe University,Türkiye,Public,39.8675202,32.734754
571,Isfahan University of Technology,Iran (Islamic Republic of),,32.7188,51.5334
571,Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio),Brazil,Private not for Profit,41.4506978,-8.2934876
575,Brno University of Technology,Czechia,Public,49.1911,16.6114
575,Chandigarh University,India,Private not for Profit,30.768812419472,76.575777973022
575,Universität Jena,Germany,Public,50.9298,11.5893
578,Universidad Adolfo Ibáñez,Chile,Private not for Profit,-33.48844,-70.5183125
578,Universiti Teknologi Brunei,Brunei Darussalam,Public,4.9773576,114.8999212
578,University of Tabriz,Iran (Islamic Republic of),Public,38.0576,46.3335
581,Universidad Pontificia Comillas,Spain,Private not for Profit,38.0576,46.3335
582,Florida International University,United States of America,Public,25.7567674,-80.3820014
582,University of Iceland,Iceland,,64.1265206,-21.8174393
584,Charles Darwin University,Australia,Public,-12.3717852,130.8689199
584,Eotvos Lorand University,Hungary,Public,64.1265206,-21.8174393
584,University of Dhaka,Bangladesh,Public,23.7315492,90.3924947
587,American University,United States of America,Private not for Profit,38.9379737,-77.0890599
587,National Central University,Taiwan,Public,24.9722,121.205
587,Université Claude Bernard Lyon 1,France,Public,45.7416183,4.8806119
587,Université Paul Sabatier Toulouse III,France,Public,43.6044,1.44295
591,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,Public,43.6044,1.44295
591,Bond University,Australia,Private not for Profit,-28.074,153.416
591,Illinois Institute of Technology,United States of America,Private not for Profit,41.8313967,-87.6272292
591,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russian Federation,Public,55.6498682,37.6644199
595,Universidade Federal de Minas Gerais,Brazil,Public,55.6498682,37.6644199
595,Zayed University,United Arab Emirates,Public,24.2498686,54.6725122
597,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,Private for Profit,3.0555634830594,101.70029776975
597,Hasselt University,Belgium,Public,50.9284716,5.3887681
597,Management and Science University - MSU Malaysia,Malaysia,Private for Profit,24.2498686,54.6725122
597,Taipei Medical University,Taiwan,Private not for Profit,24.2498686,54.6725122
597,Tulane University,United States of America,Private not for Profit,29.9354099,-90.122739
597,University of Szeged,Hungary,Private not for Profit,46.249733,20.1459
597,University of Texas at Dallas,United States of America,Public,32.985547840374,-96.74997459472
604,Canadian University of Dubai,United Arab Emirates,Private for Profit,32.985547840374,-96.74997459472
604,National Chengchi University,Taiwan,Public,25.0299588,121.5280328
604,University of Eastern Finland,Finland,Public,62.5997331,29.7763289
607,University of Siena,Italy,Public,43.3191251,11.3327841
607,University of Tennessee,United States of America,Public,62.5997331,29.7763289
609,Nottingham Trent University,United Kingdom,Public,52.9581371,-1.1542327
